Round,Rating,Viewers,Season,Network
6,11.6,19.63,2019,CBS
6,9.2,15.967,2018,Turner
6,13.2,22.998,2017,CBS
6,10.6,17.752,2016,Turner
6,16,28.263,2015,CBS
6,12.4,21.196,2014,CBS
6,14,23.426,2013,CBS
6,12.3,20.869,2012,CBS
6,11.7,20.055,2011,CBS
6,14.2,23.944,2010,CBS
6,10.8,17.649,2009,CBS
6,12.1,19.501,2008,CBS
6,12.2,19.563,2007,CBS
6,11.2,17.543,2006,CBS
6,15,23.895,2005,CBS
6,11.4,17.088,2004,CBS
6,12.6,18.573,2003,CBS
